id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2lTnA8Z6rmjIvQRcEy3XLH,Dress Sexy At My Funeral,Smog,41,2000-04-04,0.461,0.494,7,-12.185,0,0.633,0.0832,0.112,0.697,96.337,330133,4
2DpN9CD40HlI9zohtMVPPF,A lot,luluwav,2,2022-03-23,0.832,0.682,8,-5.667,0,0.0446,2.36e-06,0.171,0.771,140.031,199320,4
023qVb1qRZukCjoX8NmMEw,Drip too Hard - Demo Version,"1,361 Kodak Moment",6,2021-12-14,0.372,0.713,4,-10.287,1,0.111,0.0,0.364,0.691,105.058,176913,4
324hW4SIzty1NiMLJNANnO,xoxo - shitty 90s remix,münki,5,2021-04-30,0.256,0.54,2,-13.037,1,1.44e-05,0.537,0.147,0.321,99.993,225500,4
7A4qkJulbEMvveTLvj7Tbo,The Weeping Song - 2010 Remastered Version,Nick Cave & The Bad Seeds,48,1990,0.416,0.723,7,-9.793,0,0.204,4.89e-06,0.116,0.719,170.3,265147,4
0u1HWtNuJMtzCk6ji6PKLD,(This Is) The Dream Of Evan And Chan - Remastered,Dntel,28,2011-10-25,0.497,0.795,1,-9.114,1,0.0804,0.408,0.162,0.083,138.065,344973,4
2IiviSu5nGfTBDBfCvVL4s,Earth Death,Baths,41,2013-05-28,0.362,0.578,1,-10.692,1,0.00142,0.782,0.205,0.128,83.047,273798,4
2aXZlVSk4HbEaZVKI8B5SN,The Price You Pay (It Must Be Wearing Off),Low,27,2021-09-10,0.404,0.763,0,-4.657,1,0.534,0.0772,0.197,0.136,83.924,428132,4
3srQ1CVwvHeH7eUyPD1Hss,Midnight Visitors,Dated,0,2020-04-30,0.225,0.823,8,-5.8,0,0.163,0.886,0.401,0.316,84.965,167805,4
3KZRkM7Uv0F2oCTUHAvv0a,Jim Cain,Bill Callahan,48,2009-04-14,0.697,0.298,2,-13.037,1,0.462,0.782,0.107,0.561,106.429,279253,4
7ydapdmQ4oivP54X29q7Af,Too Many Birds,Bill Callahan,44,2009-04-14,0.531,0.575,5,-11.303,0,0.313,0.12,0.11,0.485,112.847,327147,4
1nWRZiUhOLXL4VrnqqxWpD,Eid Ma Clack Shaw,Bill Callahan,38,2009-04-14,0.787,0.34,1,-11.114,0,0.593,0.00195,0.108,0.519,118.005,259760,4
3goAZkPX0CfvUOFERG9zaN,Into the Corn,The Phantom Band,0,2010-10-18,0.505,0.822,2,-7.422,1,0.163,0.587,0.0973,0.783,127.269,387480,4
2gv7FaPoTqGuY5DWIgF9ma,Bottles and Bones (Shades and Sympathy),Califone,24,2001-04-10,0.477,0.324,4,-11.344,1,0.815,0.00857,0.121,0.268,97.408,332440,4
0grzc7C5tKnUCwgI0i2wM5,Dep. Chamber,Okay Kaya,20,2022-11-04,0.46,0.104,0,-18.554,1,0.975,0.0543,0.102,0.147,96.069,194667,4
2iFJE0hP8aMmLKkldk4r77,You Will Find It,Devendra Banhart,12,2020-04-28,0.628,0.34,2,-10.46,0,0.72,0.00053,0.0922,0.0555,120.081,274257,4
3g5v5S6Adv3gqPpKuli6Q5,Nothing's Wrong,Miss Grit,29,2023-02-24,0.591,0.309,0,-10.435,1,0.655,0.475,0.0968,0.35,129.991,229183,4
52J1P6LhBytEgXll2Z1lpB,To the Lighthouse,Memoryhouse,27,2010-01-05,0.465,0.429,6,-17.951,1,0.564,0.056,0.102,0.625,99.813,205583,4
1wxCdU4g7hAUWkevFKIClG,The Light,Mirah,15,2004-05-04,0.402,0.329,7,-14.22,1,0.4,1.71e-05,0.245,0.112,123.1,198920,4
11ZY9wPKm72osWrXBPYoSc,Warm Pants,Dua Saleh,42,2018-12-06,0.498,0.419,7,-9.285,0,0.785,3.68e-05,0.568,0.262,137.439,314000,4
18CbRJkvKJIlkmbg3MqblT,No Past Lives,Baths,23,2013-05-28,0.561,0.51,11,-10.51,0,0.0506,0.036,0.235,0.411,150.123,220186,4
1EyC2Jmbd6cduxv9vcYlSb,Ironworks,Baths,25,2013-05-28,0.554,0.479,9,-12.022,1,0.368,0.00241,0.0842,0.176,159.829,280056,3
35tWhD29yvWwB0IDRr6zsL,Yeah Right,Vince Staples,55,2017-06-23,0.734,0.468,1,-9.029,1,0.018,0.0,0.382,0.285,118.001,188947,4
1ZiRP1fP6Cqc2oG3H6kuRN,king of the darkness,2hollis,47,2022-08-11,0.31,0.693,5,-4.266,0,0.0619,1.24e-05,0.111,0.0815,149.158,162000,4
0ozMc7n0ItuLpGrUEFDXER,Against the Day,Wolf Parade,25,2020-01-24,0.518,0.86,3,-4.628,1,0.0324,0.00211,0.246,0.68,125.046,252780,4
6DkohHShwLU1NCtGRqY42v,4 Degrees,ANOHNI,26,2016-05-06,0.347,0.767,1,-5.973,1,0.3,0.0,0.134,0.327,109.261,231583,3
4yHYjLDcFlSEYnsmqYxIrA,Яitual,Arca,52,2023-04-24,0.485,0.331,8,-9.935,1,0.108,0.00319,0.0945,0.61,96.858,84562,4
