danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.461,0.494,7.0,-12.185,0.0,0.025,0.633,0.0832,0.112,0.697,96.337,audio_features,2lTnA8Z6rmjIvQRcEy3XLH,spotify:track:2lTnA8Z6rmjIvQRcEy3XLH,https://api.spotify.com/v1/tracks/2lTnA8Z6rmjIvQRcEy3XLH,https://api.spotify.com/v1/audio-analysis/2lTnA8Z6rmjIvQRcEy3XLH,330133.0,4.0
0.832,0.682,8.0,-5.667,0.0,0.272,0.0446,2.36e-06,0.171,0.771,140.031,audio_features,2DpN9CD40HlI9zohtMVPPF,spotify:track:2DpN9CD40HlI9zohtMVPPF,https://api.spotify.com/v1/tracks/2DpN9CD40HlI9zohtMVPPF,https://api.spotify.com/v1/audio-analysis/2DpN9CD40HlI9zohtMVPPF,199320.0,4.0
0.372,0.713,4.0,-10.287,1.0,0.0314,0.111,0.0,0.364,0.691,105.058,audio_features,023qVb1qRZukCjoX8NmMEw,spotify:track:023qVb1qRZukCjoX8NmMEw,https://api.spotify.com/v1/tracks/023qVb1qRZukCjoX8NmMEw,https://api.spotify.com/v1/audio-analysis/023qVb1qRZukCjoX8NmMEw,176913.0,4.0
0.256,0.54,2.0,-13.037,1.0,0.0717,1.44e-05,0.537,0.147,0.321,99.993,audio_features,324hW4SIzty1NiMLJNANnO,spotify:track:324hW4SIzty1NiMLJNANnO,https://api.spotify.com/v1/tracks/324hW4SIzty1NiMLJNANnO,https://api.spotify.com/v1/audio-analysis/324hW4SIzty1NiMLJNANnO,225500.0,4.0
0.416,0.723,7.0,-9.793,0.0,0.136,0.204,4.89e-06,0.116,0.719,170.3,audio_features,7A4qkJulbEMvveTLvj7Tbo,spotify:track:7A4qkJulbEMvveTLvj7Tbo,https://api.spotify.com/v1/tracks/7A4qkJulbEMvveTLvj7Tbo,https://api.spotify.com/v1/audio-analysis/7A4qkJulbEMvveTLvj7Tbo,265147.0,4.0
0.497,0.795,1.0,-9.114,1.0,0.0428,0.0804,0.408,0.162,0.083,138.065,audio_features,0u1HWtNuJMtzCk6ji6PKLD,spotify:track:0u1HWtNuJMtzCk6ji6PKLD,https://api.spotify.com/v1/tracks/0u1HWtNuJMtzCk6ji6PKLD,https://api.spotify.com/v1/audio-analysis/0u1HWtNuJMtzCk6ji6PKLD,344973.0,4.0
0.362,0.578,1.0,-10.692,1.0,0.0998,0.00142,0.782,0.205,0.128,83.047,audio_features,2IiviSu5nGfTBDBfCvVL4s,spotify:track:2IiviSu5nGfTBDBfCvVL4s,https://api.spotify.com/v1/tracks/2IiviSu5nGfTBDBfCvVL4s,https://api.spotify.com/v1/audio-analysis/2IiviSu5nGfTBDBfCvVL4s,273798.0,4.0
0.404,0.763,0.0,-4.657,1.0,0.064,0.534,0.0772,0.197,0.136,83.924,audio_features,2aXZlVSk4HbEaZVKI8B5SN,spotify:track:2aXZlVSk4HbEaZVKI8B5SN,https://api.spotify.com/v1/tracks/2aXZlVSk4HbEaZVKI8B5SN,https://api.spotify.com/v1/audio-analysis/2aXZlVSk4HbEaZVKI8B5SN,428132.0,4.0
0.225,0.823,8.0,-5.8,0.0,0.316,0.163,0.886,0.401,0.316,84.965,audio_features,3srQ1CVwvHeH7eUyPD1Hss,spotify:track:3srQ1CVwvHeH7eUyPD1Hss,https://api.spotify.com/v1/tracks/3srQ1CVwvHeH7eUyPD1Hss,https://api.spotify.com/v1/audio-analysis/3srQ1CVwvHeH7eUyPD1Hss,167805.0,4.0
0.697,0.298,2.0,-13.037,1.0,0.0286,0.462,0.782,0.107,0.561,106.429,audio_features,3KZRkM7Uv0F2oCTUHAvv0a,spotify:track:3KZRkM7Uv0F2oCTUHAvv0a,https://api.spotify.com/v1/tracks/3KZRkM7Uv0F2oCTUHAvv0a,https://api.spotify.com/v1/audio-analysis/3KZRkM7Uv0F2oCTUHAvv0a,279253.0,4.0
0.531,0.575,5.0,-11.303,0.0,0.0371,0.313,0.12,0.11,0.485,112.847,audio_features,7ydapdmQ4oivP54X29q7Af,spotify:track:7ydapdmQ4oivP54X29q7Af,https://api.spotify.com/v1/tracks/7ydapdmQ4oivP54X29q7Af,https://api.spotify.com/v1/audio-analysis/7ydapdmQ4oivP54X29q7Af,327147.0,4.0
0.787,0.34,1.0,-11.114,0.0,0.116,0.593,0.00195,0.108,0.519,118.005,audio_features,1nWRZiUhOLXL4VrnqqxWpD,spotify:track:1nWRZiUhOLXL4VrnqqxWpD,https://api.spotify.com/v1/tracks/1nWRZiUhOLXL4VrnqqxWpD,https://api.spotify.com/v1/audio-analysis/1nWRZiUhOLXL4VrnqqxWpD,259760.0,4.0
0.505,0.822,2.0,-7.422,1.0,0.0437,0.163,0.587,0.0973,0.783,127.269,audio_features,3goAZkPX0CfvUOFERG9zaN,spotify:track:3goAZkPX0CfvUOFERG9zaN,https://api.spotify.com/v1/tracks/3goAZkPX0CfvUOFERG9zaN,https://api.spotify.com/v1/audio-analysis/3goAZkPX0CfvUOFERG9zaN,387480.0,4.0
0.477,0.324,4.0,-11.344,1.0,0.0323,0.815,0.00857,0.121,0.268,97.408,audio_features,2gv7FaPoTqGuY5DWIgF9ma,spotify:track:2gv7FaPoTqGuY5DWIgF9ma,https://api.spotify.com/v1/tracks/2gv7FaPoTqGuY5DWIgF9ma,https://api.spotify.com/v1/audio-analysis/2gv7FaPoTqGuY5DWIgF9ma,332440.0,4.0
0.46,0.104,0.0,-18.554,1.0,0.0329,0.975,0.0543,0.102,0.147,96.069,audio_features,0grzc7C5tKnUCwgI0i2wM5,spotify:track:0grzc7C5tKnUCwgI0i2wM5,https://api.spotify.com/v1/tracks/0grzc7C5tKnUCwgI0i2wM5,https://api.spotify.com/v1/audio-analysis/0grzc7C5tKnUCwgI0i2wM5,194667.0,4.0
0.628,0.34,2.0,-10.46,0.0,0.0342,0.72,0.00053,0.0922,0.0555,120.081,audio_features,2iFJE0hP8aMmLKkldk4r77,spotify:track:2iFJE0hP8aMmLKkldk4r77,https://api.spotify.com/v1/tracks/2iFJE0hP8aMmLKkldk4r77,https://api.spotify.com/v1/audio-analysis/2iFJE0hP8aMmLKkldk4r77,274257.0,4.0
0.591,0.309,0.0,-10.435,1.0,0.0253,0.655,0.475,0.0968,0.35,129.991,audio_features,3g5v5S6Adv3gqPpKuli6Q5,spotify:track:3g5v5S6Adv3gqPpKuli6Q5,https://api.spotify.com/v1/tracks/3g5v5S6Adv3gqPpKuli6Q5,https://api.spotify.com/v1/audio-analysis/3g5v5S6Adv3gqPpKuli6Q5,229183.0,4.0
