id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5q6GyhYQUAgCWDuMZDXXUG,One Beer,MF DOOM,0,2004-11-16,0.376,0.718,7,-6.7,1,0.0996,0.00332,0.633,0.615,91.115,258587,4
7DohBLNKJYwHSVictLoDDC,Deep Fried Frenz,MF DOOM,0,2004-11-16,0.647,0.67,6,-7.874,1,0.0823,0.0,0.342,0.553,96.28,299627,4
7lT1dCz96jANsLAAADlfIg,Doomsday,Pebbles The Invisible Girl,15,1999-04-20,0.856,0.841,6,-7.737,0,0.0977,0.0,0.0773,0.794,95.418,298053,4
3KQh7ppbDxVjdJBtjvP5BU,Raid,MED,66,2004-03-24,0.419,0.871,11,-6.432,0,0.715,0.0,0.211,0.577,201.451,150520,4
4xz7WX28IkmcaHv06lCezR,Rapp Snitch Knishes (feat. Mr. Fantastik),Mr Fantastik,0,2004-11-16,0.728,0.832,7,-6.827,1,0.327,0.0,0.504,0.825,95.051,172893,4
4Vk4Yf7pDmB1dxLFSTjBUH,101 FM,Little Simz,1,2019-03-01,0.79,0.547,6,-9.515,1,0.399,0.000371,0.114,0.969,142.024,191392,4
3vom6LLLpSIE5hStxqkaPp,Sherbet Sunset,Little Simz,0,2019-03-01,0.797,0.731,11,-7.291,0,0.516,0.0,0.115,0.676,99.952,295353,4
5OFEJMirg4NPz7G1zgXDYu,ARE YOU WITH THAT?,Vince Staples,64,2021-07-09,0.859,0.423,1,-10.698,0,0.543,0.0,0.104,0.563,125.89,138410,4
6LSf4K7pyLEpLmEp0zPuPM,My Flowers,Tkay Maidza,35,2020-08-07,0.621,0.48,7,-6.364,0,0.123,0.0,0.223,0.353,87.047,220288,4
3T95IAeAWl1IKPAPIwwxUg,Don't Call Again,Kari Faux,26,2020-08-07,0.461,0.749,6,-4.169,0,0.278,0.0,0.678,0.512,79.089,226500,4
41UDmHAjh1IJ29j0ujGmhJ,You Sad,Tkay Maidza,45,2020-08-07,0.742,0.671,1,-4.589,1,0.629,0.0,0.132,0.469,159.955,157312,4
5OkYfk72CNL8XLqa3gp9q7,"Something to Rap About (feat. Tyler, The Creator)","Tyler, The Creator",65,2020-05-29,0.406,0.524,5,-11.071,1,0.469,3.95e-06,0.117,0.412,56.046,282560,4
5V9lnDn1hePoudMfKfCTNl,God Is Perfect,The Alchemist,54,2020-05-29,0.543,0.551,1,-10.38,1,0.741,5.35e-05,0.583,0.638,75.932,239027,4
0sdMgj6Ndb3X2PQu9dMSa8,Massage Seats,Madlib,41,2019-06-28,0.498,0.673,2,-5.71,1,0.164,0.0,0.616,0.46,89.486,146813,4
0jc0dX55DtUJaHRw8rreNd,Giannis (feat. Anderson .Paak),Anderson .Paak,48,2019-06-28,0.657,0.839,5,-5.62,1,0.0715,0.0,0.399,0.525,90.448,198907,4
6m192NGYZHIbO5UBkkM4oN,Thuggin’,Madlib,56,2014-03-18,0.427,0.604,11,-8.561,0,0.0302,0.000648,0.161,0.256,91.546,226520,4
7udJESHhtJ6k2TW9XfiwES,Harold’s,Madlib,51,2014-03-18,0.634,0.814,4,-7.455,1,0.257,0.0,0.624,0.879,86.74,169107,4
